RowNumber;CustomerId;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited
1;15634602;619;France;Female;42;2;0;1;1;1;101348.88;1
2;15619304;502;France;Female;42;8;159660.8;3;1;0;113931.57;1
3;15701354;699;France;Female;39;1;0;2;0;0;93826.63;0
4;15737888;850;Spain;Female;43;2;125510.82;1;1;1;79084.1;0
5;15574012;645;Spain;Male;44;8;113755.78;2;1;0;149756.71;1
6;15792365;501;France;Male;44;4;142051.07;2;0;1;74940.5;0
7;15767821;528;France;Male;31;6;102016.72;2;0;0;80181.12;0
8;15632264;476;France;Female;34;10;0;2;1;0;26260.98;0
9;15691483;549;France;Female;25;5;0;2;0;0;190857.79;0
10;15600882;635;Spain;Female;35;7;0;2;1;1;65951.65;0
11;15643966;616;Germany;Male;45;3;143129.41;2;0;1;64327.26;0
12;15788218;549;Spain;Female;24;9;0;2;1;1;14406.41;0
13;15661507;587;Spain;Male;45;6;0;1;0;0;158684.81;0
14;15577657;732;France;Male;41;8;0;2;1;1;170886.17;0
15;15597945;636;Spain;Female;32;8;0;2;1;0;138555.46;0
16;15625047;846;France;Female;38;5;0;1;1;1;187616.16;0
17;15738191;577;France;Male;25;3;0;2;0;1;124508.29;0
18;15700772;571;France;Male;44;9;0;2;0;0;38433.35;0
19;15728693;574;Germany;Female;43;3;141349.43;1;1;1;100187.43;0
20;15656300;411;France;Male;29;0;59697.17;2;1;1;53483.21;0
21;15706552;533;France;Male;36;7;85311.7;1;0;1;156731.91;0
22;15750181;553;Germany;Male;41;9;110112.54;2;0;0;81898.81;0
23;15732963;722;Spain;Female;29;9;0;2;1;1;142033.07;0
24;15794171;475;France;Female;45;0;134264.04;1;1;0;27822.99;1
25;15788448;490;Spain;Male;31;3;145260.23;1;0;1;114066.77;0
26;15717426;850;France;Male;36;7;0;1;1;1;40812.9;0
27;15585768;582;Germany;Male;41;6;70349.48;2;0;1;178074.04;0
28;15738148;465;France;Female;51;8;122522.32;1;0;0;181297.65;1
29;15684171;660;Spain;Female;61;5;155931.11;1;1;1;158338.39;0
30;15602280;829;Germany;Female;27;9;112045.67;1;1;1;119708.21;1
31;15771573;637;Germany;Female;39;9;137843.8;1;1;1;117622.8;1
32;15647091;725;Germany;Male;19;0;75888.2;1;0;0;45613.75;0
33;15623944;511;Spain;Female;66;4;0;1;1;0;1643.11;1
34;15651280;742;Germany;Male;35;5;136857;1;0;0;84509.57;0
35;15773469;687;Germany;Female;27;9;152328.88;2;0;0;126494.82;0
36;15702014;555;Spain;Male;33;1;56084.69;2;0;0;178798.13;0
37;15751208;684;Spain;Male;56;8;78707.16;1;1;1;99398.36;0
38;15592461;603;Germany;Male;26;4;109166.37;1;1;1;92840.67;0
39;15696061;581;Germany;Female;34;1;101633.04;1;1;0;110431.51;0
40;15641582;735;Germany;Male;43;10;123180.01;2;1;1;196673.28;0
41;15638424;661;Germany;Female;35;5;150725.53;2;0;1;113656.85;0
42;15755648;675;France;Female;21;8;98373.26;1;1;0;18203;0
43;15703793;738;Germany;Male;58;2;133745.44;4;1;0;28373.86;1
44;15620344;813;France;Male;29;6;0;1;1;0;33953.87;0
45;15812518;657;Spain;Female;37;0;163607.18;1;0;1;44203.55;0
46;15780961;735;France;Female;21;1;178718.19;2;1;0;22388;0
47;15575185;757;Spain;Male;33;5;77253.22;1;0;1;194239.63;0
48;15803136;416;Germany;Female;41;10;122189.66;2;1;0;98301.61;0
49;15706021;665;France;Female;34;1;96645.54;2;0;0;171413.66;0
50;15663706;777;France;Female;32;2;0;1;1;0;136458.19;1
51;15701164;506;France;Female;34;4;90307.62;1;1;1;159235.29;0
52;15738751;493;France;Female;46;4;0;2;1;0;1907.66;0
53;15762418;750;Spain;Male;22;3;121681.82;1;1;0;128643.35;1
54;15625759;729;France;Male;30;9;0;2;1;0;151869.35;0
55;15757535;647;Spain;Female;44;5;0;3;1;1;174205.22;1
56;15676966;730;Spain;Male;42;4;0;2;0;1;85982.47;0
57;15738721;773;Spain;Male;41;9;102827.44;1;0;1;64595.25;0
58;15693683;814;Germany;Male;29;8;97086.4;2;1;1;197276.13;0
59;15604348;710;Spain;Male;22;8;0;2;0;0;99645.04;0
60;15633059;413;France;Male;34;9;0;2;0;0;6534.18;0
61;15808582;665;France;Female;40;6;0;1;1;1;161848.03;0
62;15743192;623;France;Female;44;6;0;2;0;0;167162.43;0
63;15804919;670;Spain;Female;65;1;0;1;1;1;177655.68;1
64;15613854;622;Spain;Female;46;4;107073.27;2;1;1;30984.59;1
65;15599195;582;Germany;Male;32;1;88938.62;1;1;1;10054.53;0
66;15812878;785;Germany;Female;36;2;99806.85;1;0;1;36976.52;0
67;15602312;605;Spain;Male;33;5;150092.8;1;0;0;71862.79;0
68;15803526;685;Germany;Male;30;3;90536.81;1;0;1;63082.88;0
69;15665790;538;Germany;Male;39;7;108055.1;2;1;0;27231.26;0
70;15591100;675;Spain;Male;36;9;106190.55;1;0;1;22994.32;0
71;15609618;721;Germany;Male;28;9;154475.54;2;0;1;101300.94;1
72;15675522;628;Germany;Female;30;9;132351.29;2;1;1;74169.13;0
73;15705512;668;Germany;Female;37;6;167864.4;1;1;0;115638.29;0
74;15698028;506;France;Female;41;1;0;2;1;0;31766.3;0
75;15661670;524;Germany;Female;31;8;107818.63;1;1;0;199725.39;1
76;15600781;699;Germany;Male;34;4;185173.81;2;1;0;120834.48;0
77;15682472;828;France;Male;34;8;129433.34;2;0;0;38131.77;0
78;15671137;549;France;Female;52;1;0;1;0;1;8636.05;1
79;15591607;770;France;Male;24;9;101827.07;1;1;0;167256.35;0
