RowNumber;CustomerId;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary
6401;15647311;608;Spain;Female;41;1;83807.86;1;0;1;112542.58
6402;15592531;822;France;Male;50;7;0;2;1;1;10062.8
6403;15656148;376;Germany;Female;29;4;115046.74;4;1;0;119346.88
6404;15592389;684;France;Male;27;2;134603.88;1;1;1;71725.73
6405;15737173;497;Spain;Male;24;3;0;2;1;0;76390.01
6406;15737452;653;Germany;Male;58;1;132602.88;1;1;0;5097.67
6407;15568982;726;France;Female;24;6;0;2;1;1;54724.03
6408;15699309;510;Spain;Female;38;4;0;1;1;0;118913.53
6409;15725737;669;France;Male;46;3;0;2;0;1;8487.75
6410;15736816;756;Germany;Male;36;2;136815.64;1;1;1;170041.95
6411;15589475;591;Spain;Female;39;3;0;3;1;0;140469.38
6412;15659428;520;Spain;Female;42;6;0;2;1;1;34410.55
6413;15729599;804;Spain;Male;33;7;76548.6;1;0;1;98453.45
6414;15619360;472;Spain;Male;40;4;0;1;1;0;70154.22
6415;15687946;556;France;Female;61;2;117419.35;1;1;1;94153.83
6416;15755196;834;France;Female;49;2;131394.56;1;0;0;194365.76
6417;15754849;776;Germany;Female;32;4;109421.13;2;1;1;126517.46
6418;15766205;550;Germany;Male;38;2;103391.38;1;0;1;90878.13
6419;15771873;776;Germany;Female;37;2;103769.22;2;1;0;194099.12
6420;15616550;698;Germany;Male;44;10;116363.37;2;1;0;198059.16
6421;15768193;585;Germany;Male;36;5;146050.97;2;0;0;86424.57
6422;15683553;788;France;Female;33;5;0;2;0;0;116978.19
6423;15702298;655;Germany;Male;41;8;125561.97;1;0;0;164040.94
6424;15569590;601;Germany;Male;42;1;98495.72;1;1;0;40014.76
6425;15760861;619;France;Male;43;1;125211.92;1;1;1;113410.49
6426;15630053;656;France;Male;45;5;127864.4;1;1;0;87107.57
6427;15804771;614;France;Male;51;4;40685.92;1;1;1;46775.28
6428;15789484;751;Germany;Female;36;6;169831.46;2;1;1;27758.36
6429;15779052;604;Germany;Female;25;5;157780.84;2;1;1;58426.81
